,HPV41,EdPV1,TbraPV1,TbraPV2,TbraPV3,EsPV1,EsPV3,RfPV1,EhPV1,MscPV2
HPV41,100,58.60524632117722,59.16030534351145,60.35691523263225,57.64411027568922,57.09698137443803,57.07850707850708,57.998725302740596,56.55216284987278,55.98455598455598
EdPV1,58.60524632117722,100,56.952380952380956,55.76800509878904,56.609740670461726,57.71725032425421,57.534246575342465,56.813819577735124,57.34355044699873,57.19844357976653
TbraPV1,59.16030534351145,56.952380952380956,100,81.68284789644012,60.41275797373359,57.47782002534855,57.22433460076045,59.65583173996176,56.463878326996195,58.173690932311615
TbraPV2,60.35691523263225,55.76800509878904,81.68284789644012,100,59.161976235146966,57.714285714285715,56.6984126984127,58.93997445721584,54.98412698412698,57.692307692307686
TbraPV3,57.64411027568922,56.609740670461726,60.41275797373359,59.161976235146966,100,56.183301946013806,57.731305449936634,56.81818181818182,56.39571518588532,56.439393939393945
EsPV1,57.09698137443803,57.71725032425421,57.47782002534855,57.714285714285715,56.183301946013806,100,77.6246719160105,63.75404530744336,59.37300063979527,57.90849673202615
EsPV3,57.07850707850708,57.534246575342465,57.22433460076045,56.6984126984127,57.731305449936634,77.6246719160105,100,62.6953125,58.189929891650735,56.99346405228758
RfPV1,57.998725302740596,56.813819577735124,59.65583173996176,58.93997445721584,56.81818181818182,63.75404530744336,62.6953125,100,60.012919896640824,58.04150453955902
EhPV1,56.55216284987278,57.34355044699873,56.463878326996195,54.98412698412698,56.39571518588532,59.37300063979527,58.189929891650735,60.012919896640824,100,57.734627831715216
MscPV2,55.98455598455598,57.19844357976653,58.173690932311615,57.692307692307686,56.439393939393945,57.90849673202615,56.99346405228758,58.04150453955902,57.734627831715216,100
